id,name,slug,emoji,description,color,banner_image_url,sort_order
cat-1,New-Arrivals,new-arrivals,✨,Fresh picks for little ones,#FDE2E4,https://i.postimg.cc/q7bS0VP3/New-arrival.png,1
cat-2,Carry Net Beds,carry-net-beds,🛏️,Breathable sleep solutions for travel and home,#E0F7FA,https://i.postimg.cc/9FPW20Jz/Star-And-Daisy-3-in-1-Mosquito-Net-with-Mattress-for-Newborn-Comfortable-Baby-Bed-for-0-6-Month-Nylo.jpg,2
cat-3,Cradles Bedding,cradles-bedding,🌙,Gentle cradle and bedding essentials,#FFF1D6,https://i.postimg.cc/Cxdbt3sf/Krovatka-iz-cel'nogo-massiva-buka.jpg,3
cat-4,Baby Clothing,baby-clothing,👕,Soft everyday clothing for newborns and infants,#FDEBD0,https://i.postimg.cc/qv7WFvFP/Whats-App-Image-2026-05-15-at-5-03-09-PM.jpg,4
cat-5,Footwear,footwear,👣,Comfy first steps and soft sole styles,#E8F5E9,https://i.postimg.cc/Y0pdmXKR/Whats-App-Image-2026-04-20-at-5-55-52-AM.jpg,5
cat-6,Baby Accessories,baby-accessories,🧸,Practical care and feeding accessories,#F3E5F5,https://i.postimg.cc/sxN5DKV3/Whats-App-Image-2026-04-30-at-1-15-55-PM.jpg,6
cat-7,Gift Items,gift-items,🎁,Ready to gift sets for newborn celebrations,#FFE4EC,https://i.postimg.cc/LsJBYnCD/Capture.png,7
cat-8,Carry Cots,carry-cots,🍼,Portable carry cots for safe movement,#E3F2FD,https://i.postimg.cc/76MCf4kN/Adjustable-Baby-Bouncer-Super-Deluxe.jpg,8
cat-9,Caps Gloves,caps-gloves,🧤,Warm caps and mittens for tiny hands,#FFF0F5,https://i.postimg.cc/nLKV11PJ/Whats-App-Image-2026-05-09-at-4-32-28-PM.jpg,0
